conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
LOL_no_unprocess_noisy,0,14,21.859814281511163,0.7500478424296528,0.3830217123031616,10.76201809766996
LOL_no_unprocess_noisy,0,13,17.374487765600342,0.6135122603064421,0.4617607891559601,7.667045342745164
LOL_no_unprocess_noisy,0,12,23.895438549993003,0.8063262142674109,0.2939872443675995,9.749738999750823
LOL_no_unprocess_noisy,0,11,18.88328317448024,0.7850919324264134,0.3619148135185241,6.298921436607157
LOL_no_unprocess_noisy,0,10,17.96019563518955,0.5963713876448,0.5295158624649048,6.424586046632852
LOL_no_unprocess_noisy,0,9,25.96538690990432,0.8306627968732654,0.3140371441841125,8.97939858243626
LOL_no_unprocess_noisy,0,8,20.51397541737544,0.691595053302682,0.3775049149990082,11.165543954341066
LOL_no_unprocess_noisy,0,7,18.9857724544696,0.8083462640216283,0.3605062365531921,15.191331394049795
LOL_no_unprocess_noisy,0,6,20.158780980258708,0.8067665156874185,0.3091453611850738,6.477824451303926
LOL_no_unprocess_noisy,0,5,20.17812031028124,0.8137590781585254,0.2666938304901123,5.5501515376321
LOL_no_unprocess_noisy,0,4,19.74363918920835,0.821611526542014,0.2543601095676422,4.771238397618759
LOL_no_unprocess_noisy,0,3,17.48702860335254,0.649959090537954,0.4219895899295807,4.600014414101078
LOL_no_unprocess_noisy,0,2,18.227146687983364,0.649416439048981,0.4637377560138702,4.568559461571113
LOL_no_unprocess_noisy,0,1,21.32185319749246,0.8140684942677557,0.2901309132575989,5.979439277772574
LOL_no_unprocess_noisy,0,0,20.02849616021486,0.8128543871025077,0.2369751185178756,7.2162100261553475
