conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
v2_LOL_RAW_noisy,0,14,19.079465946933585,0.3862710379317182,0.664039671421051,15.411101594350338
v2_LOL_RAW_noisy,0,13,20.01757091802051,0.7321740764628918,0.32401493191719055,10.630090098575335
v2_LOL_RAW_noisy,0,12,24.67926065994023,0.871433451791169,0.2371007800102234,12.581366639061141
v2_LOL_RAW_noisy,0,11,24.16015168303892,0.9011579569400825,0.22966215014457703,8.448142200999785
v2_LOL_RAW_noisy,0,10,17.343446056582945,0.19386509211729536,0.7857598662376404,8.60527915149093
v2_LOL_RAW_noisy,0,9,23.215702792523185,0.7023050925439195,0.39778321981430054,11.321007537470365
v2_LOL_RAW_noisy,0,8,16.560138552577847,0.3854863854488336,0.6525864601135254,16.296475204310553
v2_LOL_RAW_noisy,0,7,16.883370903523232,0.4438772304496941,0.7192062139511108,21.09688791247036
v2_LOL_RAW_noisy,0,6,22.88647347660294,0.8842615036452339,0.19455257058143616,8.608173736907661
v2_LOL_RAW_noisy,0,5,24.576432115649567,0.8939612536221754,0.20244860649108887,7.062617678378116
v2_LOL_RAW_noisy,0,4,22.94113210970909,0.6724852601644791,0.3968535363674164,6.373794768062351
v2_LOL_RAW_noisy,0,3,16.63917082085369,0.3760945381880477,0.6286002397537231,6.020664143105181
v2_LOL_RAW_noisy,0,2,15.18257357305469,0.2047319986186157,0.7268924117088318,6.480825906240738
v2_LOL_RAW_noisy,0,1,20.940053841686456,0.5034306512241307,0.5425008535385132,8.060826690224363
v2_LOL_RAW_noisy,0,0,22.180459969538052,0.7914824864429314,0.2900392413139343,8.761278408481443
