conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
v2_no_ccm_wb_gain,0,14,20.517187891900875,0.8452162104212925,0.2801321744918823,13.976736951380516
v2_no_ccm_wb_gain,0,13,10.377469324850631,0.1857289304597795,0.8041566014289856,6.704645008498611
v2_no_ccm_wb_gain,0,12,21.233241663827425,0.7180393181807345,0.4191496968269348,11.265129196780972
v2_no_ccm_wb_gain,0,11,23.268804648683066,0.8644919390826498,0.2550986707210541,7.704859007373072
v2_no_ccm_wb_gain,0,10,11.779500377548509,0.3634584178611107,0.8159005045890808,6.344271738114503
v2_no_ccm_wb_gain,0,9,21.184133975631102,0.6911050154789378,0.4308133125305176,10.310419198781917
v2_no_ccm_wb_gain,0,8,18.28645685640897,0.5572403099588181,0.4337273240089416,11.468068238471226
v2_no_ccm_wb_gain,0,7,16.007558494656013,0.4889261796416239,0.6972681283950806,12.83046823474213
v2_no_ccm_wb_gain,0,6,23.13839145638322,0.8726002948090938,0.1678664833307266,8.265075151455278
v2_no_ccm_wb_gain,0,5,16.490374107068927,0.7468331085002723,0.3299925029277801,5.878582708956136
v2_no_ccm_wb_gain,0,4,26.53588250827944,0.905053701797824,0.1798092126846313,6.462626415010416
v2_no_ccm_wb_gain,0,3,16.810845100069763,0.7174720930946359,0.2804118692874908,4.534923575160853
v2_no_ccm_wb_gain,0,2,14.49259827397171,0.5945244189013167,0.4608789086341858,4.348181816447991
v2_no_ccm_wb_gain,0,1,12.349355022824644,0.4047389575827792,0.7099446058273315,5.784479329457577
v2_no_ccm_wb_gain,0,0,14.739921860235883,0.5434376731288992,0.4703444242477417,7.368972069482124
