conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
v3_no_ccm_wb_gain,0,14,19.24850121851916,0.8128347480015826,0.3135678470134735,11.391390975600244
v3_no_ccm_wb_gain,0,13,7.985074363976135,0.001482694797796933,1.0665932893753052,27.3395478750178
v3_no_ccm_wb_gain,0,12,20.253671685440313,0.7886070950975748,0.3301829695701599,9.627108835446958
v3_no_ccm_wb_gain,0,11,19.496040614399213,0.8019072541745917,0.31827208399772644,6.401682428718658
v3_no_ccm_wb_gain,0,10,17.05108224211603,0.6035540888265393,0.462383896112442,6.121145512431838
v3_no_ccm_wb_gain,0,9,21.532651238258886,0.8076869636681403,0.2306613028049469,8.961324710926837
v3_no_ccm_wb_gain,0,8,17.69211766711188,0.5969013827565427,0.4323933720588684,10.263135104247294
v3_no_ccm_wb_gain,0,7,18.72566330193077,0.7505186795457569,0.40741023421287537,14.974963339539535
v3_no_ccm_wb_gain,0,6,17.073602322225256,0.7887056895877848,0.2816216051578522,6.250533337782276
v3_no_ccm_wb_gain,0,5,20.009659654514543,0.848979158677646,0.2211342453956604,5.350445859660682
v3_no_ccm_wb_gain,0,4,20.754382971305777,0.8409758821623041,0.22373026609420776,4.885393237536993
v3_no_ccm_wb_gain,0,3,14.097133726613414,0.6096378922770809,0.3335506021976471,3.7549317758885534
v3_no_ccm_wb_gain,0,2,14.220108195813543,0.5843078497830244,0.43135279417037964,3.8079929043210967
v3_no_ccm_wb_gain,0,1,20.03173292547311,0.7519799859775508,0.3404422104358673,5.897846963268698
v3_no_ccm_wb_gain,0,0,17.773386981448677,0.782577158550805,0.2923460304737091,7.334833995241238
