conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
LOL_no_ccm_wb_gain,0,14,25.51719687676744,0.7993041229072452,0.4229655265808105,12.18344060423883
LOL_no_ccm_wb_gain,0,13,22.07141304570148,0.6286543190979433,0.4843919277191162,10.008417852947384
LOL_no_ccm_wb_gain,0,12,26.3033617328561,0.7997951225893342,0.3679516613483429,10.926738446937163
LOL_no_ccm_wb_gain,0,11,26.68935622652873,0.8795963923275973,0.3252966701984405,7.381954484860543
LOL_no_ccm_wb_gain,0,10,27.195413425417804,0.7606566268024865,0.4383770823478699,8.384120690373638
LOL_no_ccm_wb_gain,0,9,28.24967706577023,0.8239494578647711,0.3281616568565368,9.717063980060328
LOL_no_ccm_wb_gain,0,8,22.174703047539627,0.7247017175253486,0.3824683129787445,13.004773710020686
LOL_no_ccm_wb_gain,0,7,21.363918535982457,0.7501162816140139,0.3654853403568268,13.816409498243004
LOL_no_ccm_wb_gain,0,6,24.46555592459374,0.7896090821953925,0.4090317189693451,6.972404038077563
LOL_no_ccm_wb_gain,0,5,28.764672784657645,0.8990764958445542,0.2457293421030044,6.205929419566677
LOL_no_ccm_wb_gain,0,4,28.058758617366856,0.8538314875962968,0.3005141317844391,5.60130522763798
LOL_no_ccm_wb_gain,0,3,26.40616971445884,0.8372695140081706,0.2859932780265808,5.913142674195391
LOL_no_ccm_wb_gain,0,2,26.54297537962877,0.8159072269082854,0.3347384631633758,6.088465243661215
LOL_no_ccm_wb_gain,0,1,27.09816495013052,0.820519837794218,0.3360372185707092,6.768397143206127
LOL_no_ccm_wb_gain,0,0,24.59459559627476,0.7844492380068985,0.298476904630661,7.000096154421693
